motion_id,排除原因,时长_sec,源脚最大单帧位移_m,源手最大单帧位移_m,关节速度最大限值比,最大速度比关节,最大速度比帧跳转,保留原始PT,原始正式运行证据
1438_50fps,源端点单帧位移 0.123m > 0.12m,30.82,0.05876850670484786,0.12311071003358082,0.8484732863065358,right_shoulder_pitch_joint,911->912,/data/BysanRL/data_goal/pt/GVHMR/demo/1438_50fps/1438_50fps.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
1440,时长 13.78s <= 15s,13.78,0.06100306049894849,0.038357785959231123,0.2978631854057312,right_knee_joint,267->268,/data/BysanRL/data_goal/pt/GVHMR/demo/1440/1440.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
21_caf35f44_fixed,源端点单帧位移 0.136m > 0.12m；机器人关节速度最大限值比 2.37 > 1,228.48,0.0940688887711109,0.135624230191099,2.369417970043582,right_shoulder_pitch_joint,2316->2317,/data/BysanRL/data_goal/pt/GVHMR/demo/21_caf35f44_fixed/hmr4d_results.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
2e0eddf984c13ce027cc4a1e03d7963f_2469fa90_fixed,时长 13.78s <= 15s,13.78,0.06138681689149388,0.03891223377917069,0.30627280473709106,right_knee_joint,267->268,/data/BysanRL/data_goal/pt/GVHMR/demo/2e0eddf984c13ce027cc4a1e03d7963f_2469fa90_fixed/hmr4d_results.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
input_fixed,源端点单帧位移 0.194m > 0.12m；机器人关节速度最大限值比 1.04 > 1,69.06,0.19435812529905286,0.0864868617654616,1.0427036881446838,left_knee_joint,84->85,/data/BysanRL/data_goal/pt/GVHMR/demo/input_fixed/hmr4d_results.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
lay,时长 13.98s <= 15s,13.98,0.02399556170364249,0.03353364232095712,0.2433130145072937,left_knee_joint,431->432,/data/BysanRL/data_goal/pt/GVHMR/demo/lay/hmr4d_results.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
laydown,时长 11.36s <= 15s,11.36,0.04597075081394256,0.07327945977361287,0.31005680561065674,left_knee_joint,512->513,/data/BysanRL/data_goal/pt/GVHMR/demo/laydown/laydown.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
qinghaiyao,源端点单帧位移 0.128m > 0.12m；机器人关节速度最大限值比 1.11 > 1,23.08,0.11948054226372622,0.12753712715175755,1.1126525498725273,left_shoulder_pitch_joint,106->107,/data/BysanRL/data_goal/pt/GVHMR/demo/qinghaiyao/hmr4d_results.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
taichi,时长 14.26s <= 15s,14.26,0.08715439695927028,0.09200184139832925,0.2819287031888962,left_knee_joint,676->677,/data/BysanRL/data_goal/pt/GVHMR/demo/taichi/taichi.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
taichi2,源端点单帧位移 0.229m > 0.12m,93.92,0.07595453352802274,0.22915465949870611,0.823198097783166,right_shoulder_pitch_joint,2924->2925,/data/BysanRL/data_goal/pt/GVHMR/demo/taichi2/taichi2.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
yongchun,源端点单帧位移 0.373m > 0.12m；机器人关节速度最大限值比 1.19 > 1,77.58,0.37250729162794216,0.14438534057248287,1.1857429891824722,right_knee_joint,2957->2958,/data/BysanRL/data_goal/pt/GVHMR/demo/yongchun/yongchun.pt,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC
