query_id,category,source_dataset,near_distribution,smpl_csv_path,project_smpl_csv_path,fps,pose_conversion_mode,root_rot_mode,convert_transl_to_zup,gmr_preprocessor,frame_start,frame_end,notes
1438,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1438/1438_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/1438/1438_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
1439,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1439/1439_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/1439/1439_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
happy,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/happy/happy_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/happy/happy_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
taichi1,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/taichi1/taichi1_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/taichi1/taichi1_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0129,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0129/zhu0129_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0129/zhu0129_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0201_02_whswap_v2,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0201_03,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_03/zhu0201_03_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_03/zhu0201_03_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0201_04,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_04/zhu0201_04_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_04/zhu0201_04_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0201_upright_50fps,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
zhu0202_01,gvhmr_demo,GVHMR,unlabeled,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0202_01/zhu0202_01_smpl_raw_yup_50fps.csv,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0202_01/zhu0202_01_smpl_50fps.csv,50.0,zup_full,asset_basis,false,gvhmr,0,,Internal raw GVHMR AY/Y-up input; public project CSV is Z-up world; GMR must run with z_trans=false
