motion_id,source_pt,source_pt_sha256,matched_video,source_fps,source_frames,source_coordinate,output_csv,output_csv_sha256,output_fps,output_frames,output_coordinate,gmr_raw_csv,gmr_raw_csv_sha256,gmr_raw_coordinate,duration_error_sec,rotation_resampling,translation_resampling
1438,/data/BysanRL/data_goal/pt/GVHMR/demo/1438/1438.pt,5eee19e0bcab85b447931b5376e6baed8d9bb85123dcfb95c3df0a69cebf1c87,/data/BysanRL/data_goal/pt/GVHMR/demo/1438/0_input_video.mp4,30.0,926,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/1438/1438_smpl_50fps.csv,f11c1a0d0a644363c5b912bcf42b5da060c9cdc5cd387d1a6fe82951265d26fa,50.0,1543,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1438/1438_smpl_raw_yup_50fps.csv,e175f993df93c6907e54fc14a67fa192abc6588a51de63c794caff3a81a4ee7e,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.006666666666667709,SO(3) SLERP,linear
1439,/data/BysanRL/data_goal/pt/GVHMR/demo/1439/1439.pt,c330a6d2e4624196feccddd47a0eecf5149f9c3214fe2e2dffae33b94c51e9f1,/data/BysanRL/data_goal/pt/GVHMR/demo/1439/0_input_video.mp4,30.0,507,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/1439/1439_smpl_50fps.csv,db6b7f7a82f0903fe94d96b7b82e139596da3fa44bc1535c221314364c5688f1,50.0,844,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1439/1439_smpl_raw_yup_50fps.csv,ce0e2cf858c4b16dc35e7d356189f6068bd21606056fb21f15aded7b56263ffb,"raw GVHMR SMPL AY (Y-up), internal GMR input only",-0.006666666666667709,SO(3) SLERP,linear
happy,/data/BysanRL/data_goal/pt/GVHMR/demo/happy/happy.pt,10bf6136b920b44e1b23a2cec768e913c9d99be80baffe911f554391bd794e0a,/data/BysanRL/data_goal/pt/GVHMR/demo/happy/0_input_video.mp4,30.0,532,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/happy/happy_smpl_50fps.csv,6e22013a286fc724e9212de5759a09ebb3df57a631fe5269e2d6c64c93d56147,50.0,886,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/happy/happy_smpl_raw_yup_50fps.csv,f2e1565e80e876ebd0b9c0f32854cc6ecae650430d4bd619418a71305efb7b69,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
taichi1,/data/BysanRL/data_goal/pt/GVHMR/demo/taichi1/taichi1.pt,7289cb2745ba2ab59cc5abf00166085b16850e5f6ec74c1053d4185d2bbcda8b,/data/BysanRL/data_goal/pt/GVHMR/demo/taichi1/0_input_video.mp4,30.0,2402,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/taichi1/taichi1_smpl_50fps.csv,a858c24fcab78b046a93af95ea499e56e87e120196a0907453ea30e89f9d74de,50.0,4003,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/taichi1/taichi1_smpl_raw_yup_50fps.csv,07205b6f6c85e99f6e85e316fdfc7cb79d06a95ac75693db01a017ea2a540911,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.006666666666674814,SO(3) SLERP,linear
zhu0129,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0129/zhu0129.pt,79eeb2d5cf490035baf593443fdc28578a6f6813abb2e6bb86701e6dbb725f41,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0129/0_input_video.mp4,30.0,740,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0129/zhu0129_smpl_50fps.csv,0d0f1e865b46bba4931b648a709a2fcaa78e3e4798ee0b4224b6ca654fd3511b,50.0,1233,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0129/zhu0129_smpl_raw_yup_50fps.csv,fe6ae8a765c828fabf3fa486498363ada5358d8cf15a6688c617a3769a3aab73,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.006666666666667709,SO(3) SLERP,linear
zhu0201_02_whswap_v2,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_02_whswap_v2/zhu0201_2.pt,0ddc3e5e5beba6b98b942f8852acf9d0557bb3a08d52a16d6ddb929c63ebddb2,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_02_whswap_v2/0_input_video.mp4,50.0,1015,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_50fps.csv,1e83471fb7f73691ea7c0a181bc88578f20319800937a10a3252a16383d67e14,50.0,1015,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_raw_yup_50fps.csv,c20a5e2560a0ebd45c981f8885343db61db00386597c079cfeb733e1217b56fb,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
zhu0201_03,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_03/zhu0201_03.pt,82e409900ffb76b89f2b6eb58bddfd07fbfc3dd21e0fae663848af100f4b8a2a,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_03/0_input_video.mp4,50.0,967,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_03/zhu0201_03_smpl_50fps.csv,809b49dd64176d0693c01a711d169224c749264d250fdd42a66917fc21a57963,50.0,967,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_03/zhu0201_03_smpl_raw_yup_50fps.csv,bc2efbe4c1c756e3de8d36876d55dc6662821b11bb9c4c6b489b502777229e04,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
zhu0201_04,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_04/zhu0201_04.pt,be005454ddd06ee3cbc128a71cefc2a973f30115a52341cfa437f1931cfc10bc,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_04/0_input_video.mp4,50.0,833,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_04/zhu0201_04_smpl_50fps.csv,2656aae444ba310b83917a13cc7770e8b0797fb0f7e99292811c0d64338860d9,50.0,833,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_04/zhu0201_04_smpl_raw_yup_50fps.csv,632f865f084bb7d429e6023b0fd7621ee8319f137d5442d140c03933de5cf440,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
zhu0201_upright_50fps,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_upright_50fps/zhu0201_1.pt,d8857806aac19dd07bd750b85703ed9c296ba9521a315676233fd6287ec102d2,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_upright_50fps/0_input_video.mp4,50.0,1238,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_50fps.csv,e8180a2636ba6ea3c83a5f8d83c298892d05ae90514bb0845da3982c215108de,50.0,1238,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_raw_yup_50fps.csv,997cddb59c4462ffe01fa83076c0d5445be50215534a44509f8b8183a871693d,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
zhu0202_01,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0202_01/zhu0202_1.pt,ab41b7716536c1e5d2b32797da198de1ac849d5b0baa6bdac9c31c57ca746da5,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0202_01/0_input_video.mp4,50.0,3079,GVHMR gravity-aligned AY (Y-up),/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0202_01/zhu0202_01_smpl_50fps.csv,f5b2d62b8b1692b4ac30afc1757cf275d512858523c1ae8538fa6b0a053e30e5,50.0,3079,project SMPL CSV: Z-up world root/transl; raw SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0202_01/zhu0202_01_smpl_raw_yup_50fps.csv,69860e8b91463bb2746ffcfc059a3954fb5bceef3650d1ec788af8d04bb5073a,"raw GVHMR SMPL AY (Y-up), internal GMR input only",0.0,SO(3) SLERP,linear
