motion_id,source_pt,source_pt_sha256,smpl_csv,smpl_csv_sha256,smpl_csv_frames,smpl_csv_fps,smpl_csv_coordinate,gmr_raw_csv,gmr_raw_csv_sha256,gmr_raw_coordinate,gmr_preprocessor,project_root_conversion_max_matrix_error,gmr_compat_input,gmr_compat_input_sha256,gmr_pkl,gmr_pkl_sha256,gmr_frames,gmr_fps,gmr_coordinate,gmr_root_quaternion_order,gmr_root_z_min_m,gmr_root_z_max_m,robot_npz,robot_npz_sha256,robot_npz_frames,robot_npz_fps,robot_npz_coordinate,robot_body_quaternion_order,joint_shape,body_shape,npz_minus_gmr_frames,root_position_max_error_m,root_quaternion_chordal_max_error,status
1438,/data/BysanRL/data_goal/pt/GVHMR/demo/1438/1438.pt,5eee19e0bcab85b447931b5376e6baed8d9bb85123dcfb95c3df0a69cebf1c87,/data/BysanRL/data_goal/csv/GVHMR/demo/1438/1438_smpl_50fps.csv,f11c1a0d0a644363c5b912bcf42b5da060c9cdc5cd387d1a6fe82951265d26fa,1543,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1438/1438_smpl_raw_yup_50fps.csv,e175f993df93c6907e54fc14a67fa192abc6588a51de63c794caff3a81a4ee7e,GVHMR AY / Y-up; internal GMR input,gvhmr,1.1519557577277517e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/1438.smplx_compat.npz,f44acdaa77a6dcc507f40331d60cfdb3ccd5e5fd838d2c89389df74f318ee859,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/1438/1438_gmr_50fps.pkl,2922edcc2d51705cb628c9bd497875df2f3098b1a47d49040b3b6f65fd38a0f2,1543,50,Unitree G1 world / Z-up,xyzw,0.4699268937110901,0.7869074940681458,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/1438/1438_gmr_50fps.npz,c8853d7489dd56f29b2d7106f7bef570aeea69d8a2ee0e7e5639d89b033abb71,1542,50,IsaacLab world / Z-up,wxyz,1542x29,1542x30,-1,1.7881393432617188e-06,0.0008637238061055541,通过
1439,/data/BysanRL/data_goal/pt/GVHMR/demo/1439/1439.pt,c330a6d2e4624196feccddd47a0eecf5149f9c3214fe2e2dffae33b94c51e9f1,/data/BysanRL/data_goal/csv/GVHMR/demo/1439/1439_smpl_50fps.csv,db6b7f7a82f0903fe94d96b7b82e139596da3fa44bc1535c221314364c5688f1,844,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/1439/1439_smpl_raw_yup_50fps.csv,ce0e2cf858c4b16dc35e7d356189f6068bd21606056fb21f15aded7b56263ffb,GVHMR AY / Y-up; internal GMR input,gvhmr,7.875531060630436e-08,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/1439.smplx_compat.npz,52231c6e40f7062c859c2988e4bab937bccfe312d48835ce53d448c03717b6b7,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/1439/1439_gmr_50fps.pkl,f3386a51d1118d01f6ff9884ed07f923b7d2d24772f8192677c96680191a27e2,844,50,Unitree G1 world / Z-up,xyzw,0.6486557126045227,0.7923796772956848,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/1439/1439_gmr_50fps.npz,ac9467a6b52be3870928da290a321599107633eb886c4c345ade5612c41c4710,843,50,IsaacLab world / Z-up,wxyz,843x29,843x30,-1,8.791685104370117e-07,0.0009521268075332046,通过
happy,/data/BysanRL/data_goal/pt/GVHMR/demo/happy/happy.pt,10bf6136b920b44e1b23a2cec768e913c9d99be80baffe911f554391bd794e0a,/data/BysanRL/data_goal/csv/GVHMR/demo/happy/happy_smpl_50fps.csv,6e22013a286fc724e9212de5759a09ebb3df57a631fe5269e2d6c64c93d56147,886,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/happy/happy_smpl_raw_yup_50fps.csv,f2e1565e80e876ebd0b9c0f32854cc6ecae650430d4bd619418a71305efb7b69,GVHMR AY / Y-up; internal GMR input,gvhmr,8.128905480686566e-08,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/happy.smplx_compat.npz,f838d9d69feb99c6ba65a96cd9a600e192c7ca11bf8c65d06dad9fb754ea553c,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/happy/happy_gmr_50fps.pkl,da79605ca2625124db80000e6fab501d7dc4e8f26db303d93ca19f8cea0b9d07,886,50,Unitree G1 world / Z-up,xyzw,0.6652664542198181,0.8403218984603882,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/happy/happy_gmr_50fps.npz,3297a3764d8e6e8ef459fee94f517610f45f879c6528972694fc71b4234b264a,885,50,IsaacLab world / Z-up,wxyz,885x29,885x30,-1,1.2516975402832031e-06,0.0008643291075713933,通过
taichi1,/data/BysanRL/data_goal/pt/GVHMR/demo/taichi1/taichi1.pt,7289cb2745ba2ab59cc5abf00166085b16850e5f6ec74c1053d4185d2bbcda8b,/data/BysanRL/data_goal/csv/GVHMR/demo/taichi1/taichi1_smpl_50fps.csv,a858c24fcab78b046a93af95ea499e56e87e120196a0907453ea30e89f9d74de,4003,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/taichi1/taichi1_smpl_raw_yup_50fps.csv,07205b6f6c85e99f6e85e316fdfc7cb79d06a95ac75693db01a017ea2a540911,GVHMR AY / Y-up; internal GMR input,gvhmr,8.448709763611909e-08,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/taichi1.smplx_compat.npz,c1ca2e3dfe66e099b0e514a59735bba423438e07c5fff99693a00d6db3b20522,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/taichi1/taichi1_gmr_50fps.pkl,3c607b1b279c7faa4a8ba348340c19642599b9214775c06ccb0dc065ecd2cae8,4003,50,Unitree G1 world / Z-up,xyzw,0.6576308012008667,0.790278971195221,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/taichi1/taichi1_gmr_50fps.npz,bd01b051fd2850ecb406645d019bf509178496920bddd900b8c248961f75ec53,4003,50,IsaacLab world / Z-up,wxyz,4003x29,4003x30,0,8.260831236839294e-07,0.000989232212305069,通过
zhu0129,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0129/zhu0129.pt,79eeb2d5cf490035baf593443fdc28578a6f6813abb2e6bb86701e6dbb725f41,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0129/zhu0129_smpl_50fps.csv,0d0f1e865b46bba4931b648a709a2fcaa78e3e4798ee0b4224b6ca654fd3511b,1233,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0129/zhu0129_smpl_raw_yup_50fps.csv,fe6ae8a765c828fabf3fa486498363ada5358d8cf15a6688c617a3769a3aab73,GVHMR AY / Y-up; internal GMR input,gvhmr,1.0890727132617517e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0129.smplx_compat.npz,c4f6579b48de90a2142336ad15c8eb004c0d8831105dd616310e7f2fd3d400d0,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0129/zhu0129_gmr_50fps.pkl,da996b7c8a4288c15857d03983105d2ec44f77b68be24c6d4141f1d57a6c060f,1233,50,Unitree G1 world / Z-up,xyzw,0.47891589999198914,0.8272969722747803,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0129/zhu0129_gmr_50fps.npz,58aa7ceaadf167771a2ddbaa28060366fc35cd53398c6acbd1daf78b0dc8c56d,1232,50,IsaacLab world / Z-up,wxyz,1232x29,1232x30,-1,1.5497207641601562e-06,0.0008445797138847411,通过
zhu0201_02_whswap_v2,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_02_whswap_v2/zhu0201_2.pt,0ddc3e5e5beba6b98b942f8852acf9d0557bb3a08d52a16d6ddb929c63ebddb2,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_50fps.csv,1e83471fb7f73691ea7c0a181bc88578f20319800937a10a3252a16383d67e14,1015,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_smpl_raw_yup_50fps.csv,c20a5e2560a0ebd45c981f8885343db61db00386597c079cfeb733e1217b56fb,GVHMR AY / Y-up; internal GMR input,gvhmr,1.0004368611316039e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0201_02_whswap_v2.smplx_compat.npz,186de2a3d485b3d3e5bc7abc29a6bff9134121b394513adfb507e5eeb950c920,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_gmr_50fps.pkl,c7819d52dc19c0105731b6dc4d73c8b3acb045483e1e7493be71b648425ded63,1015,50,Unitree G1 world / Z-up,xyzw,0.40344539284706116,0.8139676451683044,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0201_02_whswap_v2/zhu0201_02_whswap_v2_gmr_50fps.npz,76a669180dfff155e96490fdcbd9c3ad7337cb60ac9a4143de31d3238b66cde3,1014,50,IsaacLab world / Z-up,wxyz,1014x29,1014x30,-1,1.0132789611816406e-06,0.0009673850727267563,通过
zhu0201_03,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_03/zhu0201_03.pt,82e409900ffb76b89f2b6eb58bddfd07fbfc3dd21e0fae663848af100f4b8a2a,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_03/zhu0201_03_smpl_50fps.csv,809b49dd64176d0693c01a711d169224c749264d250fdd42a66917fc21a57963,967,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_03/zhu0201_03_smpl_raw_yup_50fps.csv,bc2efbe4c1c756e3de8d36876d55dc6662821b11bb9c4c6b489b502777229e04,GVHMR AY / Y-up; internal GMR input,gvhmr,1.07434389058636e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0201_03.smplx_compat.npz,a6786ccf3f771a880fae8fa1e8bac22ab94380f63887771a47ddf361c94fc404,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0201_03/zhu0201_03_gmr_50fps.pkl,486c1aceca42ec431831b71fa6c173326f4b26438a8dc51eee52728e24925084,967,50,Unitree G1 world / Z-up,xyzw,0.6416729092597961,0.8335930705070496,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0201_03/zhu0201_03_gmr_50fps.npz,91d5cc4b7ae4e09be7d9d235d5805789143c815048a54f15e0612dbe8820906b,966,50,IsaacLab world / Z-up,wxyz,966x29,966x30,-1,2.7418136596679688e-06,0.0009307313594035804,通过
zhu0201_04,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_04/zhu0201_04.pt,be005454ddd06ee3cbc128a71cefc2a973f30115a52341cfa437f1931cfc10bc,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_04/zhu0201_04_smpl_50fps.csv,2656aae444ba310b83917a13cc7770e8b0797fb0f7e99292811c0d64338860d9,833,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_04/zhu0201_04_smpl_raw_yup_50fps.csv,632f865f084bb7d429e6023b0fd7621ee8319f137d5442d140c03933de5cf440,GVHMR AY / Y-up; internal GMR input,gvhmr,1.0106275721843971e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0201_04.smplx_compat.npz,5baa2128ed8284e950856818cf3ef081eaf024fc506aa7b94a6c18791e4b83e7,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0201_04/zhu0201_04_gmr_50fps.pkl,000cc205cb574938a8cd8ecce9da8a1e63400b22e41e2e792603d3d4385927dc,833,50,Unitree G1 world / Z-up,xyzw,0.7499762773513794,0.8045505881309509,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0201_04/zhu0201_04_gmr_50fps.npz,f28234fe10ee1e4d77d12f8a34d2ac574847170069217e5f2f99cef847e2e37f,832,50,IsaacLab world / Z-up,wxyz,832x29,832x30,-1,5.960464477539062e-07,9.434991738999088e-07,通过
zhu0201_upright_50fps,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0201_upright_50fps/zhu0201_1.pt,d8857806aac19dd07bd750b85703ed9c296ba9521a315676233fd6287ec102d2,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_50fps.csv,e8180a2636ba6ea3c83a5f8d83c298892d05ae90514bb0845da3982c215108de,1238,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0201_upright_50fps/zhu0201_upright_50fps_smpl_raw_yup_50fps.csv,997cddb59c4462ffe01fa83076c0d5445be50215534a44509f8b8183a871693d,GVHMR AY / Y-up; internal GMR input,gvhmr,7.65208491917968e-08,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0201_upright_50fps.smplx_compat.npz,b8a6ee40d3819a89858c0642d04720d5dc76d3853fb3ef3c298eb1c814553e07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0201_upright_50fps/zhu0201_upright_50fps_gmr_50fps.pkl,fc498f767e84e4467b9f27d1ea5145fe5d5c5e4b0ded98d5649c940437a74552,1238,50,Unitree G1 world / Z-up,xyzw,0.39581602811813354,0.7989998459815979,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0201_upright_50fps/zhu0201_upright_50fps_gmr_50fps.npz,1fe6b73f683f9bc9326b9677febd3153bf12c8d5910d2f8d163e05ad0a4cefdb,1237,50,IsaacLab world / Z-up,wxyz,1237x29,1237x30,-1,1.9222497940063477e-06,0.0008835666230879724,通过
zhu0202_01,/data/BysanRL/data_goal/pt/GVHMR/demo/zhu0202_01/zhu0202_1.pt,ab41b7716536c1e5d2b32797da198de1ac849d5b0baa6bdac9c31c57ca746da5,/data/BysanRL/data_goal/csv/GVHMR/demo/zhu0202_01/zhu0202_01_smpl_50fps.csv,f5b2d62b8b1692b4ac30afc1757cf275d512858523c1ae8538fa6b0a053e30e5,3079,50,project Z-up world root/transl; original SMPL local body basis,/data/BysanRL/data_goal/csv/GVHMR/demo_gmr_raw/zhu0202_01/zhu0202_01_smpl_raw_yup_50fps.csv,69860e8b91463bb2746ffcfc059a3954fb5bceef3650d1ec788af8d04bb5073a,GVHMR AY / Y-up; internal GMR input,gvhmr,1.1834766867890867e-07,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo_runs/GVHMR_DEMO_GMR_20260731_v3_GVHMR_PREPROC/inputs/smplx_npz/zhu0202_01.smplx_compat.npz,67d8850437e710a7b067b9da93213c4222ce6008b88d57163db1c111f14c1e3f,/data/BysanRL/data_goal/pkl/GVHMR_gmr/demo/zhu0202_01/zhu0202_01_gmr_50fps.pkl,aa34d53a14ef08779f0387b74f0865a16ae1f0042e1fa0c9cb110dcfdc370afe,3079,50,Unitree G1 world / Z-up,xyzw,0.4296465814113617,0.831894040107727,/data/BysanRL/data_goal/npz/GVHMR_gmr/demo/zhu0202_01/zhu0202_01_gmr_50fps.npz,228c06ce3347dac529e896ed63e83fdcf8d61fb8068e69570907fa9b045b49ba,3078,50,IsaacLab world / Z-up,wxyz,3078x29,3078x30,-1,3.933906555175781e-06,0.0009084117482416332,通过
